POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LOCATION
419-03280,-,0,Grey,SS,Y,N,SFMTA,ON,0,328,FRANKLIN ST,5803000,Area 5,Civic Center,"(37.7778241997, -122.4213915018)"
418-08390,-,0,Grey,SS,N,N,SFMTA,ON,0,839,FOLSOM ST,5664000,Area 5,South Embarcadero,"(37.7811720994, -122.4020831005)"
616-14010,-,0,Yellow,SS,N,N,SFMTA,ON,0,1401,POWELL ST,10693000,Area 3,,"(37.7975502991, -122.4103635994)"
500-08040,-,0,Yellow,SS,N,N,SFMTA,ON,0,804,JACKSON ST,7379000,Area 3,,"(37.7958386027, -122.4084691999)"
423-01760,423-01008,76,Grey,MS,Y,N,SFMTA,ON,0,176,FULTON ST,5881000,Area 5,Civic Center,"(37.7797512998, -122.4165480972)"
616-13280,-,0,Grey,SS,N,N,SFMTA,ON,0,1328,POWELL ST,10692000,Area 3,,"(37.7972354022, -122.4101353993)"
614-12080,-,0,Grey,SS,N,N,SFMTA,ON,0,1208,POST ST,10641000,Area 3,,"(37.7866212026, -122.4220071023)"
614-12320,-,0,Grey,SS,N,N,SFMTA,ON,0,1232,POST ST,10641000,Area 3,,"(37.7865282976, -122.4227485989)"
650-08030,-,0,Yellow,SS,N,N,SFMTA,ON,0,803,SACRAMENTO ST,11229000,Area 2,,"(37.7933081006, -122.4063301996)"
650-08310,-,0,Yellow,SS,N,N,SFMTA,ON,0,831,SACRAMENTO ST,11230000,Area 2,,"(37.7932081995, -122.4071520005)"
202-02260,-,0,Grey,SS,Y,N,SFMTA,ON,0,226,02ND ST,136000,Area 5,Downtown,"(37.7861728993, -122.3976222013)"
350-03170,-,0,Yellow,SS,N,N,SFMTA,ON,0,317,CALIFORNIA ST,3527000,Area 5,Downtown,"(37.7930502006, -122.4006109980)"
568-01090,-,0,Grey,SS,Y,N,SFMTA,ON,0,109,MISSION ST,9084000,Area 5,Downtown,"(37.7922643022, -122.3942687024)"
463-00420,-,0,Grey,SS,Y,N,SFMTA,ON,0,42,HAWTHORNE ST,6809000,Area 5,Downtown,"(37.7849416022, -122.3982376177)"
658-00190,-,0,Red,SS,N,N,SFMTA,ON,0,19,SPEAR ST,12044000,Area 5,Downtown,"(37.7934944973, -122.3951294010)"
665-00080,-,0,Grey,SS,Y,N,SFMTA,ON,0,8,STEUART ST,12158001,Area 5,Downtown,"(37.7941454974, -122.3944652022)"
204-03360,-,0,Grey,SS,N,N,SFMTA,ON,0,336,04TH ST,257000,Area 5,South Embarcadero,"(37.7813081992, -122.4004191027)"
606-03410,-,0,Grey,SS,N,N,SFMTA,ON,0,341,PINE ST,10459000,Area 5,Downtown,"(37.7918807016, -122.4022950006)"
418-04090,-,0,Grey,SS,N,N,SFMTA,ON,0,409,FOLSOM ST,5655000,Area 5,South Embarcadero,"(37.7877339003, -122.3937746004)"
666-00230,-,0,Yellow,SS,N,N,SFMTA,ON,0,23,SUTTER ST,12316000,Area 5,Downtown,"(37.7900817999, -122.4014315975)"
